0
tensor(669.0159, dtype=torch.float64)
tensor(661.4780, dtype=torch.float64)
tensor(651.6570, dtype=torch.float64)
tensor(643.5412, dtype=torch.float64)
tensor(636.1506, dtype=torch.float64)
tensor(629.3024, dtype=torch.float64)
tensor(619.9091, dtype=torch.float64)
tensor(613.5975, dtype=torch.float64)
tensor(604.9297, dtype=torch.float64)
tensor(598.7946, dtype=torch.float64)
tensor(590.1601, dtype=torch.float64)
tensor(582.1293, dtype=torch.float64)
tensor(575.4623, dtype=torch.float64)
tensor(566.7921, dtype=torch.float64)
tensor(559.3116, dtype=torch.float64)
tensor(551.2528, dtype=torch.float64)
tensor(543.7369, dtype=torch.float64)
tensor(537.1240, dtype=torch.float64)
tensor(529.1444, dtype=torch.float64)
tensor(521.1305, dtype=torch.float64)
tensor(512.9645, dtype=torch.float64)
tensor(504.8000, dtype=torch.float64)
tensor(496.7574, dtype=torch.float64)
tensor(489.2253, dtype=torch.float64)
tensor(480.5059, dtype=torch.float64)
tensor(473.9943, dtype=torch.float64)
tensor(465.4856, dtype=torch.float64)
tensor(458.5427, dtype=torch.float64)
tensor(451.6901, dtype=torch.float64)
tensor(442.8766, dtype=torch.float64)
tensor(434.3680, dtype=torch.float64)
tensor(427.0761, dtype=torch.float64)
tensor(418.9763, dtype=torch.float64)
tensor(409.7635, dtype=torch.float64)
tensor(401.9740, dtype=torch.float64)
tensor(394.0691, dtype=torch.float64)
tensor(384.9098, dtype=torch.float64)
tensor(376.9123, dtype=torch.float64)
tensor(370.1026, dtype=torch.float64)
tensor(360.8674, dtype=torch.float64)
tensor(354.7648, dtype=torch.float64)
tensor(347.7064, dtype=torch.float64)
tensor(339.6447, dtype=torch.float64)
tensor(333.3436, dtype=torch.float64)
tensor(325.0736, dtype=torch.float64)
tensor(318.6633, dtype=torch.float64)
tensor(310.5859, dtype=torch.float64)
tensor(302.4545, dtype=torch.float64)
tensor(296.9135, dtype=torch.float64)
tensor(290.6031, dtype=torch.float64)
tensor(285.2697, dtype=torch.float64)
tensor(277.7146, dtype=torch.float64)
tensor(272.5339, dtype=torch.float64)
