0
tensor(567.6740, dtype=torch.float64)
tensor(559.6740, dtype=torch.float64)
tensor(551.8808, dtype=torch.float64)
tensor(543.4155, dtype=torch.float64)
tensor(536.8852, dtype=torch.float64)
tensor(533.9102, dtype=torch.float64)
tensor(528.4602, dtype=torch.float64)
tensor(523.8434, dtype=torch.float64)
tensor(518.2942, dtype=torch.float64)
tensor(514.0344, dtype=torch.float64)
tensor(508.0075, dtype=torch.float64)
tensor(503.8460, dtype=torch.float64)
tensor(499.3841, dtype=torch.float64)
tensor(488.2872, dtype=torch.float64)
tensor(477.4200, dtype=torch.float64)
tensor(471.9979, dtype=torch.float64)
tensor(462.2734, dtype=torch.float64)
tensor(458.2430, dtype=torch.float64)
tensor(456.8425, dtype=torch.float64)
tensor(451.3942, dtype=torch.float64)
tensor(448.8892, dtype=torch.float64)
tensor(431.1622, dtype=torch.float64)
tensor(423.1949, dtype=torch.float64)
tensor(419.0708, dtype=torch.float64)
tensor(410.4815, dtype=torch.float64)
tensor(413.1322, dtype=torch.float64)
tensor(402.2329, dtype=torch.float64)
tensor(403.8071, dtype=torch.float64)
tensor(394.1982, dtype=torch.float64)
tensor(409.1985, dtype=torch.float64)
tensor(390.7299, dtype=torch.float64)
tensor(392.5881, dtype=torch.float64)
tensor(399.2204, dtype=torch.float64)
tensor(390.4698, dtype=torch.float64)
tensor(398.5825, dtype=torch.float64)
tensor(390.7801, dtype=torch.float64)
tensor(401.5774, dtype=torch.float64)
tensor(396.9597, dtype=torch.float64)
tensor(407.0182, dtype=torch.float64)
tensor(397.0944, dtype=torch.float64)
tensor(392.9610, dtype=torch.float64)
tensor(399.9632, dtype=torch.float64)
tensor(392.9123, dtype=torch.float64)
tensor(387.6892, dtype=torch.float64)
tensor(391.4371, dtype=torch.float64)
tensor(392.6010, dtype=torch.float64)
tensor(393.0499, dtype=torch.float64)
tensor(397.3767, dtype=torch.float64)
tensor(388.2106, dtype=torch.float64)
tensor(393.3924, dtype=torch.float64)
tensor(389.7516, dtype=torch.float64)
tensor(394.9642, dtype=torch.float64)
tensor(393.0450, dtype=torch.float64)
tensor(394.6839, dtype=torch.float64)
tensor(390.3114, dtype=torch.float64)
tensor(393.6041, dtype=torch.float64)
tensor(391.1610, dtype=torch.float64)
tensor(394.0336, dtype=torch.float64)
tensor(396.2942, dtype=torch.float64)
tensor(389.5712, dtype=torch.float64)
tensor(388.2106, dtype=torch.float64)
tensor(391.8410, dtype=torch.float64)
tensor(390.1497, dtype=torch.float64)
tensor(394.8496, dtype=torch.float64)
tensor(384.1439, dtype=torch.float64)
tensor(392.0742, dtype=torch.float64)
tensor(389.3325, dtype=torch.float64)
tensor(390.9088, dtype=torch.float64)
tensor(394.5904, dtype=torch.float64)
tensor(390.9915, dtype=torch.float64)
tensor(390.2891, dtype=torch.float64)
tensor(393.4386, dtype=torch.float64)
tensor(389.3151, dtype=torch.float64)
tensor(389.9461, dtype=torch.float64)
tensor(386.0917, dtype=torch.float64)
tensor(393.1306, dtype=torch.float64)
tensor(391.7776, dtype=torch.float64)
tensor(393.7237, dtype=torch.float64)
tensor(393.5309, dtype=torch.float64)
tensor(390.4824, dtype=torch.float64)
tensor(390.7512, dtype=torch.float64)
tensor(400.0478, dtype=torch.float64)
tensor(387.8678, dtype=torch.float64)
tensor(399.9853, dtype=torch.float64)
tensor(392.9116, dtype=torch.float64)
tensor(393.9801, dtype=torch.float64)
tensor(391.6697, dtype=torch.float64)
tensor(389.7528, dtype=torch.float64)
tensor(394.6091, dtype=torch.float64)
tensor(390.4195, dtype=torch.float64)
tensor(392.0574, dtype=torch.float64)
tensor(392.3779, dtype=torch.float64)
tensor(393.8312, dtype=torch.float64)
tensor(392.1037, dtype=torch.float64)
tensor(394.0321, dtype=torch.float64)
tensor(391.7473, dtype=torch.float64)
tensor(396.2152, dtype=torch.float64)
tensor(388.1583, dtype=torch.float64)
tensor(394.8953, dtype=torch.float64)
tensor(394.0396, dtype=torch.float64)
tensor(395.3318, dtype=torch.float64)
tensor(388.7149, dtype=torch.float64)
tensor(398.3804, dtype=torch.float64)
tensor(388.6658, dtype=torch.float64)
tensor(397.0173, dtype=torch.float64)
tensor(393.4659, dtype=torch.float64)
tensor(393.1131, dtype=torch.float64)
tensor(396.5275, dtype=torch.float64)
tensor(390.4542, dtype=torch.float64)
tensor(394.7558, dtype=torch.float64)
tensor(392.0600, dtype=torch.float64)
tensor(397.7340, dtype=torch.float64)
tensor(394.3345, dtype=torch.float64)
tensor(395.7630, dtype=torch.float64)
tensor(397.3075, dtype=torch.float64)
tensor(397.3765, dtype=torch.float64)
tensor(396.4494, dtype=torch.float64)
tensor(397.3476, dtype=torch.float64)
tensor(396.1721, dtype=torch.float64)
tensor(393.4101, dtype=torch.float64)
tensor(399.4217, dtype=torch.float64)
tensor(393.9927, dtype=torch.float64)
tensor(401.0306, dtype=torch.float64)
tensor(396.9125, dtype=torch.float64)
tensor(396.3865, dtype=torch.float64)
tensor(393.0818, dtype=torch.float64)
tensor(395.3628, dtype=torch.float64)
tensor(397.2935, dtype=torch.float64)
tensor(391.9141, dtype=torch.float64)
tensor(397.0229, dtype=torch.float64)
tensor(395.8224, dtype=torch.float64)
tensor(396.0023, dtype=torch.float64)
tensor(397.0635, dtype=torch.float64)
tensor(396.6297, dtype=torch.float64)
tensor(399.3931, dtype=torch.float64)
tensor(396.1697, dtype=torch.float64)
tensor(396.2315, dtype=torch.float64)
tensor(392.7122, dtype=torch.float64)
tensor(393.9812, dtype=torch.float64)
tensor(396.6267, dtype=torch.float64)
tensor(394.0877, dtype=torch.float64)
tensor(396.0953, dtype=torch.float64)
tensor(398.3617, dtype=torch.float64)
tensor(396.5507, dtype=torch.float64)
tensor(396.1425, dtype=torch.float64)
tensor(398.3394, dtype=torch.float64)
tensor(398.6053, dtype=torch.float64)
tensor(398.9156, dtype=torch.float64)
tensor(398.2745, dtype=torch.float64)
tensor(396.6661, dtype=torch.float64)
tensor(396.0840, dtype=torch.float64)
tensor(394.0428, dtype=torch.float64)
tensor(397.4268, dtype=torch.float64)
tensor(402.0134, dtype=torch.float64)
tensor(397.3363, dtype=torch.float64)
tensor(398.2447, dtype=torch.float64)
tensor(398.2980, dtype=torch.float64)
tensor(399.9251, dtype=torch.float64)
tensor(396.2545, dtype=torch.float64)
tensor(403.3678, dtype=torch.float64)
tensor(398.3316, dtype=torch.float64)
tensor(394.9061, dtype=torch.float64)
tensor(400.1553, dtype=torch.float64)
tensor(396.2563, dtype=torch.float64)
tensor(398.4882, dtype=torch.float64)
tensor(396.9494, dtype=torch.float64)
tensor(397.6816, dtype=torch.float64)
tensor(400.4902, dtype=torch.float64)
tensor(395.1590, dtype=torch.float64)
tensor(398.6865, dtype=torch.float64)
tensor(399.1981, dtype=torch.float64)
tensor(395.8877, dtype=torch.float64)
tensor(399.2133, dtype=torch.float64)
tensor(394.7216, dtype=torch.float64)
tensor(397.4730, dtype=torch.float64)
tensor(394.4096, dtype=torch.float64)
tensor(399.7481, dtype=torch.float64)
tensor(398.6275, dtype=torch.float64)
tensor(397.7180, dtype=torch.float64)
tensor(397.0960, dtype=torch.float64)
tensor(394.9182, dtype=torch.float64)
tensor(394.3956, dtype=torch.float64)
tensor(396.7498, dtype=torch.float64)
tensor(398.6026, dtype=torch.float64)
tensor(397.3977, dtype=torch.float64)
tensor(397.0728, dtype=torch.float64)
tensor(399.1967, dtype=torch.float64)
tensor(396.5450, dtype=torch.float64)
tensor(397.1069, dtype=torch.float64)
tensor(400.5983, dtype=torch.float64)
tensor(395.4359, dtype=torch.float64)
tensor(397.9713, dtype=torch.float64)
tensor(395.6623, dtype=torch.float64)
tensor(396.0803, dtype=torch.float64)
tensor(399.7122, dtype=torch.float64)
tensor(400.6366, dtype=torch.float64)
tensor(399.1152, dtype=torch.float64)
tensor(400.9946, dtype=torch.float64)
tensor(398.4709, dtype=torch.float64)
tensor(399.3531, dtype=torch.float64)
tensor(398.9340, dtype=torch.float64)
tensor(397.8490, dtype=torch.float64)
tensor(398.6141, dtype=torch.float64)
tensor(398.4478, dtype=torch.float64)
tensor(398.7410, dtype=torch.float64)
tensor(397.8560, dtype=torch.float64)
tensor(401.0554, dtype=torch.float64)
tensor(399.1845, dtype=torch.float64)
tensor(401.9833, dtype=torch.float64)
tensor(402.0052, dtype=torch.float64)
tensor(396.8909, dtype=torch.float64)
tensor(396.8525, dtype=torch.float64)
tensor(398.0794, dtype=torch.float64)
tensor(401.4200, dtype=torch.float64)
tensor(399.5566, dtype=torch.float64)
tensor(398.4699, dtype=torch.float64)
tensor(399.1594, dtype=torch.float64)
tensor(403.4214, dtype=torch.float64)
tensor(400.2078, dtype=torch.float64)
tensor(398.2735, dtype=torch.float64)
tensor(399.8697, dtype=torch.float64)
tensor(400.1685, dtype=torch.float64)
tensor(401.0284, dtype=torch.float64)
tensor(399.6198, dtype=torch.float64)
tensor(398.9191, dtype=torch.float64)
tensor(402.0730, dtype=torch.float64)
tensor(401.8776, dtype=torch.float64)
tensor(396.9032, dtype=torch.float64)
tensor(398.1598, dtype=torch.float64)
tensor(400.7655, dtype=torch.float64)
tensor(399.6550, dtype=torch.float64)
tensor(398.8953, dtype=torch.float64)
tensor(398.9158, dtype=torch.float64)
tensor(400.1927, dtype=torch.float64)
tensor(400.2011, dtype=torch.float64)
tensor(399.3039, dtype=torch.float64)
tensor(399.2685, dtype=torch.float64)
tensor(402.2166, dtype=torch.float64)
tensor(403.2052, dtype=torch.float64)
tensor(401.2918, dtype=torch.float64)
tensor(401.0956, dtype=torch.float64)
tensor(400.8372, dtype=torch.float64)
tensor(402.9982, dtype=torch.float64)
tensor(401.3096, dtype=torch.float64)
tensor(400.5757, dtype=torch.float64)
tensor(402.8853, dtype=torch.float64)
tensor(401.7469, dtype=torch.float64)
tensor(401.5845, dtype=torch.float64)
tensor(402.3089, dtype=torch.float64)
tensor(400.7365, dtype=torch.float64)
tensor(400.2348, dtype=torch.float64)
tensor(400.2648, dtype=torch.float64)
tensor(401.9151, dtype=torch.float64)
tensor(401.7592, dtype=torch.float64)
tensor(398.7574, dtype=torch.float64)
tensor(400.3202, dtype=torch.float64)
tensor(401.3035, dtype=torch.float64)
tensor(398.7095, dtype=torch.float64)
tensor(400.6454, dtype=torch.float64)
tensor(401.0520, dtype=torch.float64)
tensor(399.9366, dtype=torch.float64)
tensor(402.1385, dtype=torch.float64)
tensor(402.8464, dtype=torch.float64)
tensor(403.1490, dtype=torch.float64)
tensor(402.4193, dtype=torch.float64)
tensor(400.9009, dtype=torch.float64)
tensor(401.2090, dtype=torch.float64)
tensor(402.1733, dtype=torch.float64)
tensor(401.3151, dtype=torch.float64)
tensor(399.9490, dtype=torch.float64)
tensor(400.0351, dtype=torch.float64)
tensor(402.2974, dtype=torch.float64)
tensor(403.0385, dtype=torch.float64)
tensor(400.5579, dtype=torch.float64)
tensor(400.6150, dtype=torch.float64)
tensor(401.4315, dtype=torch.float64)
tensor(401.0625, dtype=torch.float64)
tensor(402.1054, dtype=torch.float64)
tensor(403.8314, dtype=torch.float64)
tensor(401.2330, dtype=torch.float64)
tensor(399.1163, dtype=torch.float64)
tensor(401.0529, dtype=torch.float64)
tensor(400.5336, dtype=torch.float64)
tensor(398.8307, dtype=torch.float64)
tensor(400.6864, dtype=torch.float64)
tensor(403.2742, dtype=torch.float64)
tensor(402.3683, dtype=torch.float64)
tensor(401.7463, dtype=torch.float64)
tensor(401.1082, dtype=torch.float64)
tensor(401.6576, dtype=torch.float64)
tensor(402.4360, dtype=torch.float64)
tensor(402.2572, dtype=torch.float64)
tensor(400.1116, dtype=torch.float64)
tensor(399.9587, dtype=torch.float64)
tensor(403.9476, dtype=torch.float64)
tensor(404.3225, dtype=torch.float64)
tensor(400.8772, dtype=torch.float64)
tensor(399.9381, dtype=torch.float64)
tensor(401.8137, dtype=torch.float64)
tensor(402.9936, dtype=torch.float64)
tensor(416.6847, dtype=torch.float64)
tensor(395.7643, dtype=torch.float64)
tensor(415.7882, dtype=torch.float64)
tensor(408.0877, dtype=torch.float64)
tensor(419.3021, dtype=torch.float64)
